prompt_id,category,type,title,model_name,lab,run_number,open_weights,full_cot,max_tokens,total_score,criteria_met_count,criteria_total_count,success_rate,tokens_output,tokens_reasoning,tokens_completion,char_output,char_reasoning,char_completion,output_entropy,output_bzip2_length,output_bzip2_ratio,output_entropy_ratio,thinking_entropy,thinking_bzip2_length,thinking_bzip2_ratio,thinking_entropy_ratio
one_plus_one,Knowledge,knowledge,One plus one,o4-mini-high-long,openai,1,False,False,30000,1,1,1,1,7.0,64.0,71,1,0,1,0.0,37,37.0,0.0,4.56952,319,0.80151,0.57119
one_plus_one,Knowledge,knowledge,One plus one,o4-mini-high-long,openai,2,False,False,30000,1,1,1,1,7.0,0.0,7,1,239,240,0.0,37,37.0,0.0,0.0,0,0.0,0.0
one_plus_one,Knowledge,knowledge,One plus one,o4-mini-high-long,openai,3,False,False,30000,1,1,1,1,7.0,64.0,71,1,398,399,0.0,37,37.0,0.0,4.56887,316,0.77641,0.57111
one_plus_one,Knowledge,knowledge,One plus one,o4-mini-high-long,openai,4,False,False,30000,1,1,1,1,7.0,64.0,71,1,407,408,0.0,37,37.0,0.0,4.6656,235,0.98326,0.5832
one_plus_one,Knowledge,knowledge,One plus one,o4-mini-high-long,openai,5,False,False,30000,1,1,1,1,7.0,128.0,135,1,413,414,0.0,37,37.0,0.0,4.48106,308,0.74576,0.56013
one_plus_one,Knowledge,knowledge,One plus one,gemini-2.5-pro,google,1,False,False,30000,1,1,1,1,7.0,258.0,265,9,565,574,2.05881,43,4.77778,0.25735,4.46467,366,0.64779,0.55808
one_plus_one,Knowledge,knowledge,One plus one,gemini-2.5-pro,google,2,False,False,30000,1,1,1,1,7.0,199.0,206,9,658,667,2.05881,43,4.77778,0.25735,4.51795,374,0.66195,0.56474
one_plus_one,Knowledge,knowledge,One plus one,gemini-2.5-pro,google,3,False,False,30000,1,1,1,1,7.0,280.0,287,9,565,574,2.05881,43,4.77778,0.25735,4.5508,447,0.67933,0.56885
one_plus_one,Knowledge,knowledge,One plus one,gemini-2.5-pro,google,4,False,False,30000,1,1,1,1,7.0,480.0,487,9,1017,1026,2.05881,43,4.77778,0.25735,4.61886,606,0.59587,0.57736
one_plus_one,Knowledge,knowledge,One plus one,gemini-2.5-pro,google,5,False,False,30000,1,1,1,1,7.0,305.0,312,9,539,548,2.05881,43,4.77778,0.25735,4.60718,370,0.68646,0.5759
